Z (cm)	Inj(185A)	Mid(-146)	Ext(152)	Sextupoles(460)	Sum(185+152+-146)
38	1454.797988	-1502.620877	15869.70903	0.053222541	15821.93936
39	1397.722063	-1427.874248	15077.64336	0.048459906	15047.53963
40	1343.611563	-1358.431461	14298.0074	0.043549669	14283.23105
41	1292.268976	-1293.787782	13536.66891	0.043818471	13535.19392
42	1242.908436	-1233.090031	12799.37207	0.034867501	12809.22534
43	1194.981899	-1175.587994	12088.19824	0.035227627	12107.62737
44	1148.214718	-1120.77426	11402.47541	0.044646317	11429.96051
45	1101.572456	-1067.638454	10739.97128	0.028910407	10773.93419
46	1054.810296	-1015.66068	10098.54329	0.043194992	10137.7361
47	1006.379347	-963.4428122	9470.548602	0.031408009	9513.516545
48	955.2932101	-909.8913021	8848.615991	0.028960799	8894.04686
49	901.9817331	-855.1960089	8231.331188	0.04205696	8278.158969
50	844.6606775	-797.715073	7607.269757	0.048829496	7654.264191
51	783.8116701	-737.7535044	6976.774763	0.050627828	7022.883557
52	718.5395256	-674.4680933	6333.852965	0.034437072	6377.958835
53	650.2242509	-608.968467	5685.460639	0.019925549	5726.736349
54	578.973463	-541.3034803	5031.903581	0.001343704	5069.574907
55	510.3909602	-476.3869249	4410.543788	0.028183462	4444.576007
56	441.8213068	-411.868713	3804.436236	0.059851974	3834.448682
57	380.2262961	-354.1056222	3260.097204	0.028486904	3286.246364
58	319.8584776	-297.6888261	2739.113184	0.040385965	2761.323222
59	267.7344102	-249.033082	2287.695612	0.03086974	2306.42781
60	221.129073	-205.6402702	1887.079791	0.000467898	1902.569061
61	180.420947	-167.7131789	1538.072625	0.008604459	1550.788997
62	145.1621903	-134.9028296	1236.674806	0.008619354	1246.942786
63	115.2121278	-107.0885338	981.4179267	-0.014299928	989.5272208
64	87.95629702	-81.75510749	744.612636	-0.00697282	750.8068527
65	69.7589567	-64.8145234	592.6246192	-0.009564019	597.5594885
66	53.59134871	-49.77024808	455.908938	-0.007428185	459.7226105
67	40.62619396	-37.70792287	345.5694151	-0.004781249	348.482905
68	30.66839976	-28.44255234	260.8073359	-0.003151475	263.0300318
69	23.06039779	-21.36206509	196.0483305	-0.001991033	197.7446722
70	17.44086757	-16.1311802	148.2153679	-0.00123734	149.523818
71	13.16268325	-12.14794635	111.7960821	-0.000577139	112.8102419
72	10.04357051	-9.243659129	85.23929117	-0.000144201	86.03905835
73	7.73657748	-7.095466317	65.59029864	0.000218512	66.23162832
74	6.070723457	-5.544484137	51.39499104	0.000459893	51.92169026
75	4.83015922	-4.389726807	40.81577681	0.000624229	41.25683345
76	3.863643259	-3.490319271	32.56443598	0.000739445	32.93849941
77	3.155552491	-2.831651735	26.50966448	0.000775385	26.83434062
78	2.623234765	-2.336582182	21.94714717	0.000782578	22.23458233
79	2.202694054	-1.945442719	18.330752	0.000764149	18.58876748
80	1.878103952	-1.643371374	15.52657699	0.000729114	15.76203868
81	1.619138779	-1.401984874	13.27350464	0.000690652	13.49134919
82	1.415816477	-1.211892641	11.48702604	0.000646595	11.69159647
83	1.2482719	-1.054338825	9.992328582	0.000605551	10.18686721
84	1.111483433	-0.924393995	8.743870176	0.000566662	8.931526276
85	1.000753657	-0.817279756	7.696117225	0.000529892	7.880121018
86	0.906442048	-0.723248052	6.753868786	0.000490598	6.937553381
87	0.833277494	-0.646325241	5.956456538	0.000455816	6.143864608
88	0.772783753	-0.576974041	5.205314363	0.000422106	5.401546181
89	0.729176355	-0.51877407	4.536628162	0.000392327	4.747422775
90	0.702827415	-0.470480637	3.932757797	0.000368616	4.16547319
91	0.693231335	-0.430253805	3.370994239	0.000349343	3.634321113
92	0.703223672	-0.401445018	2.890465679	0.000337734	3.192582066
93	0.731213384	-0.382717878	2.479702191	0.000333639	2.828531336
94	0.771980828	-0.373922288	2.160930593	0.00033674	2.559325872
95	0.822308218	-0.372213674	1.906079877	0.000346247	2.356520668
96	0.875297745	-0.375721297	1.718369714	0.000360421	2.218306583
97	0.925578298	-0.381835777	1.582851087	0.000379341	2.126972949
98	0.968136858	-0.388333211	1.488674052	0.000398305	2.068876004
99	1.001901975	-0.39396593	1.421915965	0.000416374	2.030268385
100	1.026478903	-0.397978904	1.37304188	0.000432567	2.001974446
