Instructions:,,INJ,MID,EXT,SEXT (460A),Sum (G),Z,Sum (T),,,,,Originals:,Inj(185A),Mid(-146),Ext(152),Sextupoles(460),Sum(185+152+-146),,,Becr (18 GHz),Becr (28 GHz),,,
,,974.7449183,-867.6168855,9976.855405,0.056453928,10084.03989,37,1.008403989,,,,,,1515.359747,-1583.400816,16664.6376,0.056453928,16596.65299,,,0.64,1,,,
,,935.7889761,-823.3539052,9500.944222,0.053222541,9613.432515,38,0.961343252,,,,,,1454.797988,-1502.620877,15869.70903,0.053222541,15821.93936,,,0.64,1,,,
,,899.075273,-782.3968482,9026.747012,0.048459906,9143.473896,39,0.91434739,,,,,,1397.722063,-1427.874248,15077.64336,0.048459906,15047.53963,,,0.64,1,,,
,,864.2690594,-744.346006,8559.991272,0.043549669,8679.957875,40,0.867995788,,,,,,1343.611563,-1358.431461,14298.0074,0.043549669,14283.23105,,,0.64,1,,,
,,831.2432873,-708.9248121,8104.18994,0.043818471,8226.552233,41,0.822655223,,,,,,1292.268976,-1293.787782,13536.66891,0.043818471,13535.19392,,,0.64,1,,,
,,799.4924534,-675.6657704,7662.781963,0.034867501,7786.643513,42,0.778664351,,,,,,1242.908436,-1233.090031,12799.37207,0.034867501,12809.22534,,,0.64,1,,,
,,768.6640323,-644.1578049,7237.01342,0.035227627,7361.554875,43,0.736155488,,,,,,1194.981899,-1175.587994,12088.19824,0.035227627,12107.62737,,,0.64,1,,,
,,738.5813591,-614.1228822,6826.481989,0.044646317,6950.985112,44,0.695098511,,,,,,1148.214718,-1120.77426,11402.47541,0.044646317,11429.96051,,,0.64,1,,,
,,708.5790393,-585.0073721,6429.851227,0.028910407,6553.451804,45,0.65534518,,,,,,1101.572456,-1067.638454,10739.97128,0.028910407,10773.93419,,,0.64,1,,,
,,678.4995958,-556.5264,6045.838417,0.043194992,6167.854808,46,0.616785481,,,,,,1054.810296,-1015.66068,10098.54329,0.043194992,10137.7361,,,0.64,1,,,
,,647.3467151,-527.9138697,5669.867913,0.031408009,5789.332166,47,0.578933217,,,,,,1006.379347,-963.4428122,9470.548602,0.031408009,9513.516545,,,0.64,1,,,
,,614.4859027,-498.5705765,5297.526679,0.028960799,5413.470966,48,0.541347097,,,,,,955.2932101,-909.8913021,8848.615991,0.028960799,8894.04686,,,0.64,1,,,
,,580.1936553,-468.6005528,4927.968014,0.04205696,5039.603173,49,0.503960317,,,,,,901.9817331,-855.1960089,8231.331188,0.04205696,8278.158969,,,0.64,1,,,
,,543.3222736,-437.1041496,4554.352289,0.048829496,4660.619242,50,0.466061924,,,,,,844.6606775,-797.715073,7607.269757,0.048829496,7654.264191,,,0.64,1,,,
