file,livetime,start_time,gain,gain_formula,fast_count,slow_count,raw_data_length,peak_energy_keV,fit_range_min_keV,fit_range_max_keV,fit_points,fit_r_squared,fit_mean_squared_error,fit_residual_std_error,fit_slope,fit_slope_error,alpha,alpha_error,fit_intercept_beta,fit_intercept_beta_error,spectral_temperature,spectral_temperature_error,spectral_temperature_error_type,plot_file,fit_status
Run19.mca,90.016,05/21/2025 02:08:05,9.998424,9.84 x 1.0161,1175,3314,1024,134.40627443488134,176.33924319426447,199.92653812141748,45,0.22547925435404947,0.2606862114008314,0.5223132694714795,-0.03976237954184621,0.011238319406814709,0.03976237954184621,0.011238319406814709,5.609211575987799,2.1177583607817434,25.149400300542702,7.108150888452024,1-sigma propagated from slope standard error,Run19_analysis.png,ok
Run20.mca,98.904,05/21/2025 02:16:14,9.998424,9.84 x 1.0161,722,2391,1024,140.17205763929653,166.38016311391098,191.01578226004855,43,0.2470720971547874,0.1688710499543749,0.4208427998044772,-0.031340393171341394,0.008544317093266139,0.031340393171341394,0.008544317093266139,3.333071421929839,1.5252345820286821,31.907704365190618,8.698982885246044,1-sigma propagated from slope standard error,Run20_analysis.png,ok
Run21.mca,91.984,05/21/2025 02:30:09,9.998424,9.84 x 1.0161,3264,7352,1024,145.93784084371168,148.03448928168086,296.89652837749094,269,0.3863481142234647,0.23797029774571743,0.4896456338950668,-0.009175731166461575,0.000707712210050675,0.009175731166461575,0.000707712210050675,0.9143357964958889,0.15812041426478568,108.98314061936807,8.405727882254368,1-sigma propagated from slope standard error,Run21_analysis.png,ok
Run22.mca,93.01,05/21/2025 02:36:15,9.998424,9.84 x 1.0161,3921,8739,1024,149.60697561015772,154.8485967050806,299.5173389249524,264,0.4812993798267956,0.19533959481694668,0.4436561019101554,-0.01032822504201365,0.0006624083207574443,0.01032822504201365,0.0006624083207574443,1.3594719051482793,0.15134841786125472,96.82205760739643,6.209753983003041,1-sigma propagated from slope standard error,Run22_analysis.png,ok
Run23.mca,100.907,05/21/2025 02:47:26,9.998424,9.84 x 1.0161,5090,10855,1024,130.7371396684353,145.41367873421942,287.98577251612204,270,0.4651450058250739,0.17126104921213997,0.41537828150202294,-0.00935166687485469,0.0006125555476885348,0.00935166687485469,0.0006125555476885348,1.3172548743923955,0.13483188764330975,106.93280817015184,7.004343263195866,1-sigma propagated from slope standard error,Run23_analysis.png,ok
Run24.mca,91.022,05/21/2025 02:52:54,9.998424,9.84 x 1.0161,4864,10342,1024,142.79286818675797,148.03448928168086,293.7515557205372,276,0.4434365815331396,0.17520176261544168,0.420095950466124,-0.008940765541896703,0.0006051192864025718,0.008940765541896703,0.0006051192864025718,1.2914146734368308,0.1355790398518514,111.84724566525867,7.569925099355258,1-sigma propagated from slope standard error,Run24_analysis.png,ok
Run25.mca,90.997,05/21/2025 03:22:09,9.998424,9.84 x 1.0161,5335,11095,1024,135.4545986538659,137.55124709183508,299.5173389249524,306,0.4569953277975528,0.15597552917449956,0.396234380098068,-0.007763182747616779,0.0004853431685893697,0.007763182747616779,0.0004853431685893697,1.1501915333566117,0.10808353225272575,128.81314694118083,8.05321514704692,1-sigma propagated from slope standard error,Run25_analysis.png,ok
Run26.mca,90.011,05/21/2025 03:34:48,9.998424,9.84 x 1.0161,6106,12761,1024,149.08281350066542,151.17946193863457,299.5173389249524,281,0.5045358304880194,0.15907977084196234,0.4002750649518297,-0.009386596047542618,0.0005568858030657065,0.009386596047542618,0.0005568858030657065,1.621497073006437,0.12745762249630876,106.53489240775382,6.320477499246646,1-sigma propagated from slope standard error,Run26_analysis.png,ok
Run27.mca,96.932,05/21/2025 03:51:31,9.998424,9.84 x 1.0161,8234,17119,1024,148.03448928168086,152.22778615761916,299.5173389249524,279,0.5817543586925189,0.12844851260755807,0.35968866911728975,-0.009948468132873938,0.0005068298880289862,0.009948468132873938,0.0005068298880289862,1.9804667172147234,0.11618584092779373,100.51798795993304,5.120941224537509,1-sigma propagated from slope standard error,Run27_analysis.png,ok
Run28.mca,112.746,05/21/2025 03:56:59,9.998424,9.84 x 1.0161,14041,30244,1024,143.31703029625024,145.41367873421942,299.5173389249524,295,0.7321349855569762,0.05816476042180242,0.24199543281471225,-0.008932500175859752,0.00031564698133326654,0.008932500175859752,0.00031564698133326654,2.1776273282129797,0.07162012617960829,111.9507394696189,3.955993537745552,1-sigma propagated from slope standard error,Run28_analysis.png,ok
